# Symposium old -> new paragraph map. Applies identically to original-en and modern-en.
# Coordinates: chapter number (1-based) . paragraph index (0-based), matching reader chapterNumber/paragraphIndex.
# Old = served baseline at main 38a97c6315fdad4fe01fe326c203f870e22e615b (original-en sha256 e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en sha256 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# No paragraph is merged, split or deleted, so offset_shift_* is 0 on every row (the columns keep the format read by prepare-structural-migration.py).
# Text is carried byte for byte (old hash == new hash) except modern-en 3.3, 3.7, 3.8 (C-06), marked text_changed=modern-en:
#   for those three, use mapping/changed-paragraph-ops.json (UTF-16 char and word opcodes) to project offsets.
# op: keep = same coordinate; renumber = same chapter, new index (+9 in chapter 1); move = new chapter (7.69-7.114 -> 8.0-8.45; 8.0 -> 8.46).
# New coordinates 1.0-1.8 have no old coordinate: they are the restored passages listed in inserted-paragraphs.tsv.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
2	7	2	7	keep	0	0	none	92e37703d4390927abef0dea5ebb64cdf3a7c02013b2276e5710723bfcb51002	92e37703d4390927abef0dea5ebb64cdf3a7c02013b2276e5710723bfcb51002	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d	fd9e479f9babe2b115f2e737c7035765cedc56bb927a923cbf13a21f2556ea0d
3	0	3	0	keep	0	0	none	1eb1b5127a701afcf8929b75781339b27fbf0f9dc52184f2fdfffe830f8aa24f	1eb1b5127a701afcf8929b75781339b27fbf0f9dc52184f2fdfffe830f8aa24f	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8	d9ef85e1ca51074a8613275b145f223a76d016d7cbb780063dddafa0ce51d6f8
3	1	3	1	keep	0	0	none	e56d13e0fa4eaae39e1d58fb1a7c883e6b5cb96e12aa4b6510fed2e0543407ac	e56d13e0fa4eaae39e1d58fb1a7c883e6b5cb96e12aa4b6510fed2e0543407ac	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4	d9924449b7f4684fb703adf8c5740d6ac8762e786722896192bec30beb2a15f4
3	2	3	2	keep	0	0	none	1f2282974a9cd60f5cd900df501e2a068de95988543ab5b23efff515897b325b	1f2282974a9cd60f5cd900df501e2a068de95988543ab5b23efff515897b325b	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0	57470890fc223f678eba388f86ba0a63015531312ab56fc96fdf8588267243f0
3	3	3	3	keep	0	0	modern-en	657faa15e859be0288d696d787bc372c109af0fd01a673b512d6d89099024302	657faa15e859be0288d696d787bc372c109af0fd01a673b512d6d89099024302	800d9f905b820ef9f7509aedbfda0f81bf0b8a8636b490f908ebaab4109a6c0c	524ce031834ba928b910f3cd910c01243e60e0ecb79ca3ad456ac532ad4313ab
3	4	3	4	keep	0	0	none	9ad6b5d376529f010d979ada2dd6fca988072774e9a93e15609507e6e93b5468	9ad6b5d376529f010d979ada2dd6fca988072774e9a93e15609507e6e93b5468	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879	a1180182955f27394f22c920c90abb8a3058480a77335a11f35549bc4508a879
3	5	3	5	keep	0	0	none	4730e3ee81ab9bd4df3274ed760a1cbe42877336d9adb42ab032a0bf3501e4d9	4730e3ee81ab9bd4df3274ed760a1cbe42877336d9adb42ab032a0bf3501e4d9	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486	e212310da29213d01ca88974841e4daef3e9df99ded061d3020041691ff5d486
3	6	3	6	keep	0	0	none	0746568038f74814e7560254eb5dbbef8f775c440922ae549b8a2727604fe6ac	0746568038f74814e7560254eb5dbbef8f775c440922ae549b8a2727604fe6ac	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656	1433d612220522e850c6d24a2ea45f6f3ce82df3d399834bcb367a5b02594656
3	7	3	7	keep	0	0	modern-en	2ddd9436c32cfa8bd9fd904b3defa763147ea8154125885660cf881a624b2388	2ddd9436c32cfa8bd9fd904b3defa763147ea8154125885660cf881a624b2388	f3cd77c227ef7c672c6845d18f7798c773ccda4863f7da335d0ba016d3a62103	b3a639775ec792ab415e97b6222745096c74bddabffa75e0c8dd6b2c7d86855f
3	8	3	8	keep	0	0	modern-en	a45a888f5e2992aefb12e31ed39160ff7a15cdbb11f757aa8e27fa7b92afa110	a45a888f5e2992aefb12e31ed39160ff7a15cdbb11f757aa8e27fa7b92afa110	11ab27fbcf5a9948471d9223d3432f884273c94919398ae38e4c39bae416b52e	0f34ee934b181dc0ca7f82568352353c1fe4dd32e954df890d80368ec570e9c3
