# Symposium live -> final paragraph map (composed: completeness repair + accessibility pass). Coordinates chapter.index (index 0-based).
# Old = live main 693121e30cde6aeabc2b0682f61b51aa8683735d (original-en e2943777fd54eaaa0888076c5c03a9104bc1b1ffa681a5362ab114e327f797c0, modern-en 7816d1eb6ac9cc6d178c4c123bbeb8ad6daced1f7d7fc8c036f2bded3b8fcce8).
# New = original-en 3521a12d5d5acd6d4ac83f53747192c5ae592f7bf5e965c9c9bff881965495a6 (completeness candidate; unchanged by the accessibility pass) and modern-en a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d (accessibility candidate).
# Column names and op values follow books/wip/symposium-completeness-repair/mapping/paragraph-map.tsv (read by prepare-structural-migration.py). offset_shift_* is 0 everywhere; text changes are given as opcodes in changed-paragraph-ops-live-to-final.json.
old_chapter	old_index	new_chapter	new_index	op	offset_shift_original_en	offset_shift_modern_en	text_changed_original_en	text_changed_modern_en	old_sha256_original_en	new_sha256_original_en	old_sha256_modern_en	new_sha256_modern_en
7	71	8	2	move	0	0	none	accessibility	43831b2873ff16c1cfffbed284248de0100698e93ee268e6cc4481c3df9ca0e5	43831b2873ff16c1cfffbed284248de0100698e93ee268e6cc4481c3df9ca0e5	94ba300c9a250af85d310b2230caaea93eed2f0de86ce9ca9e485d4add004f56	dab32a220a2626997c807a7acbdcbe915be168f8d8eb883010174e6942e48ed3
7	72	8	3	move	0	0	none	accessibility	e292cdb1d99233a2498ba22fcd25222e96be36ee767649ad4ba4c19867303606	e292cdb1d99233a2498ba22fcd25222e96be36ee767649ad4ba4c19867303606	05cda0c63ac8365aaf61841fb668660c3c8dc5f7b1f6ae1159eb9d152742e48f	110a6d0c6f7e1a005b9864676253b837174f4d0e40a284c64728fb8900554719
7	73	8	4	move	0	0	none	accessibility	ce19488189bd182fc5edecc15356e4303f180a60666859e8d7692077db673ca6	ce19488189bd182fc5edecc15356e4303f180a60666859e8d7692077db673ca6	1b6e2fc3483ccd4dcced98f90be46ec59eb8122aebb68ae5b7133b0ecf6b6ea2	a546bbf82583b6e62b6ca28301fc59806391c9a7044774755ea4a87e218c7e5a
7	74	8	5	move	0	0	none	accessibility	71e4082326fd7cfdbc4e1aaf43e0a28db92c7718129eb68901da9cd73bec05c1	71e4082326fd7cfdbc4e1aaf43e0a28db92c7718129eb68901da9cd73bec05c1	a0266afd498c399c6c2e444860badc1cfc389e6863639d026e17fa8b5b8b41c1	59ccc7a9ef04b1d83649f5833bae49ed7857601da63ac4f82923e426d22cbf3d
7	75	8	6	move	0	0	none	accessibility	a5421b2483f4561d169ba89626bd1ab917f5642e6225be9da8128f9afcf88a64	a5421b2483f4561d169ba89626bd1ab917f5642e6225be9da8128f9afcf88a64	1a46be71fa9d29b2482cfc42e7543bb614435213f2fd8ed032c4517f34bf75f2	0e6b84a311711b9c5b006a405da679dd0450179fa2ee522526064f024a473015
7	76	8	7	move	0	0	none	none	119b5f0974cf37b7da4a65d18b9af919a3c7554edccfebe6e7110d6ec6a47407	119b5f0974cf37b7da4a65d18b9af919a3c7554edccfebe6e7110d6ec6a47407	c5084d160b2b4e86a0a4d3a3ad86739259f9b4036a5b5ae2b0c7bcf382080f84	c5084d160b2b4e86a0a4d3a3ad86739259f9b4036a5b5ae2b0c7bcf382080f84
7	77	8	8	move	0	0	none	accessibility	2aa3485a66cc4e974ff548be1f9ed2f839528fd60144a61af154c9d0d4283d4e	2aa3485a66cc4e974ff548be1f9ed2f839528fd60144a61af154c9d0d4283d4e	7436d5d7a8ad3d84a947a980291441194e9730df4c11c70ff409829f7511647d	41d17220a839988575681c59e9f738fb07e9d2b0feecb1b7913812cc88c5913d
7	78	8	9	move	0	0	none	none	82a53ca54a8d7ed9126237db396851b5fd6934703b80310aa3964cf03f9a628a	82a53ca54a8d7ed9126237db396851b5fd6934703b80310aa3964cf03f9a628a	6ec46c0f96e7f1816438081d900488736826525279ee149f9fe738b2ea9639fa	6ec46c0f96e7f1816438081d900488736826525279ee149f9fe738b2ea9639fa
7	79	8	10	move	0	0	none	accessibility	ac4f4809346adf77a4e92d9e46fe16650c1ef84efc1a99fe55fb63c39bc8975a	ac4f4809346adf77a4e92d9e46fe16650c1ef84efc1a99fe55fb63c39bc8975a	76687515c3be5b8824219055dab20266dee7c3561cf76a00210bb52069bac770	aac75cbae7df00b196abb159e3802d397a9d84ddc6434fd47cf8f3ec6b45b7da
7	80	8	11	move	0	0	none	accessibility	2dfcb645b6b427b6db9f7fe28c1a9b8f10d54bad0ded08c8b2aa9a1f3baa7baf	2dfcb645b6b427b6db9f7fe28c1a9b8f10d54bad0ded08c8b2aa9a1f3baa7baf	c9e1b0f0c14f4caf5035f29ab08d428bac86d821dc17b058695d9484073e20ed	b90c3895b5bb26c0498e76710d9412c51c70f47cc7dc02760e3a34452c614206
