# sha256 of each raw paragraph (UTF-8). before = accepted completeness candidate 1e970b7beb3f098095ecf1a9fc7d78a8855d75e6ffc3bba14edc69db0e05374f; after = this candidate a848700fabaa280b3f174534df048cb3db14be5054a11c6e2a7095fb5536b76d.
coordinate	sha256_before	sha256_after	changed
7.12	7e3d495490e86c55f74dfeb4a4cfa0e38c2f6c28d0ee4dbf41e58826f54b50d1	7e3d495490e86c55f74dfeb4a4cfa0e38c2f6c28d0ee4dbf41e58826f54b50d1	no
7.13	31351bb70073cbaa23b6416f5ba1d600c1759d033da4ecb3575d85eeae52affc	31351bb70073cbaa23b6416f5ba1d600c1759d033da4ecb3575d85eeae52affc	no
7.14	843a253dc125807bbfebd0294d0bc3f2c84dd2989e8ab73132958719bc371331	49f45639f7137e81f984596f695ad1073dae2f5d5e336002d3db7afbcfc0ca18	yes
7.15	afa281d4eef6fbeff2ec022e84cbc520836cf8598b1ceeb345f0a734660c89fe	afa281d4eef6fbeff2ec022e84cbc520836cf8598b1ceeb345f0a734660c89fe	no
7.16	858f66d7b86ff5ea94874d7bd195da1862ef4d242d606de3516927286170aac5	08edb67cc7ba9a9534fdb81092ca66e4a68a0b22822f1722e3631f0ac48764f7	yes
7.17	2c898dfe39d14385b37b5c62109c7c046798fc1a67390b642e9eaaee39233a47	2c898dfe39d14385b37b5c62109c7c046798fc1a67390b642e9eaaee39233a47	no
7.18	331179ad9518e25e088c53119fab23a3fe4fd9b121a1d9f07e1a9c40b8fbc503	a162f1160fa1f33fd37bbf00058014bb88274665a2b4da89f505387fe6d20b8c	yes
7.19	fab6484b72eec9720fbc576bd66d760516212bb88d461b299117b5b86490cc25	fab6484b72eec9720fbc576bd66d760516212bb88d461b299117b5b86490cc25	no
7.20	829d13ce11dcebd2dc64a41431fff72b8931a02ec027385585deaf76c378cd42	b9fa17ce1ce9ba7690583a64dc67ee16f62ca9799bbd53f70d28ec5350b6a630	yes
7.21	c7ef721d313f7d24934e88adbd21b5a0430bdac632c7adfca4174dadcf022791	c7ef721d313f7d24934e88adbd21b5a0430bdac632c7adfca4174dadcf022791	no
7.22	bf900a35ac5ff8d3c30baab68237163c7968e347f17de235de544dfa8f91665b	7c2ba2122095401af5957cffc56f063f62e40faa1bee038be6e410cb30ef8593	yes
7.23	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	no
7.24	5d90cffb3b32859c33e9a8b48a0af911871d3948fe3f367685d210cb3c6023b0	f62769b300ec78743877187ee6e24fed0b47444a65c99aa2b3c04fb69b4d2f61	yes
7.25	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	no
7.26	2b7c224e4803d88b6e72afb90c86a62631852d07a573d2d57603bf4044211428	eccca3a3e75182b945a0d2cf8fb88116e14b051b494a069fe7f8441ab126aecd	yes
7.27	0844535f431db6243d5a85596d2879f05e5eec409675032048cadef37e572565	0844535f431db6243d5a85596d2879f05e5eec409675032048cadef37e572565	no
7.28	f593e3503570fc83ae001707672b48483e4dd0e923a2e9860279f2fb4ff37ddc	74a14fd327b7c09e3d2f6ca4ae6022d4df1db3812224775f337bc6ca930e3ab2	yes
7.29	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	no
7.30	1b2c0659cc44b2331532e154346e1a271ce40ebbaddd75566c19352d5d8d26a7	6cbf340071e52e20cafcf9bd5684e7af6496c61923e675f36c85f700eb3f0dbf	yes
7.31	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	no
7.32	cd9305ae44a93b1513519358439392ad68872c2f600178cc66dd4be8212103a9	1be499be087a86775585f85774b45c4427192ca1848836ad63ab429760ff2968	yes
